Time,PositionX,PositionY,PositionZ,RotationX,RotationY,RotationZ,RotationW
12.10682,426.785,53.775,47.55,-0.1162146,-0.6312724,-0.08062741,0.762554
12.12765,426.785,53.775,47.55,-0.1162502,-0.6311115,-0.08043426,0.7627022
12.14776,426.785,53.775,47.55,-0.1162664,-0.6310822,-0.08034807,0.762733
12.16854,426.785,53.775,47.55,-0.1163165,-0.631161,-0.08045347,0.7626491
12.18875,426.785,53.775,47.55,-0.1163323,-0.6310981,-0.08062892,0.7626802
12.20904,426.785,53.775,47.55,-0.1164235,-0.6308773,-0.0808741,0.7628229
12.22547,426.785,53.775,47.55,-0.1165443,-0.6308123,-0.08090857,0.7628546
12.24653,426.785,53.775,47.55,-0.1169243,-0.6307233,-0.08102312,0.7628579
12.26678,426.785,53.775,47.55,-0.1170132,-0.6307367,-0.08099616,0.762836
12.28726,426.785,53.775,47.55,-0.1173008,-0.6305037,-0.08136256,0.7629456
12.30752,426.785,53.775,47.55,-0.1173264,-0.6305553,-0.08135319,0.7628999
12.32808,426.785,53.775,47.55,-0.1174309,-0.6305045,-0.08137733,0.7629232
12.34896,426.785,53.775,47.55,-0.117595,-0.630422,-0.0815006,0.762953
12.36883,426.785,53.775,47.55,-0.1177304,-0.6302027,-0.08184519,0.7630764
12.38953,426.785,53.775,47.55,-0.1179616,-0.6302778,-0.08193699,0.7629688
12.40577,426.785,53.775,47.55,-0.1181708,-0.6301054,-0.08224478,0.7630457
12.42621,426.785,53.775,47.55,-0.1185747,-0.6300076,-0.08229452,0.7630584
12.44723,426.785,53.775,47.55,-0.1183997,-0.6299999,-0.08224794,0.763097
12.46724,426.785,53.775,47.55,-0.1183947,-0.6297904,-0.08228312,0.7632668
12.48754,426.785,53.775,47.55,-0.1182459,-0.6297293,-0.08253731,0.7633129
12.50813,426.785,53.775,47.55,-0.1182156,-0.6297523,-0.08268441,0.7632827
12.52858,426.785,53.775,47.55,-0.1183577,-0.6298132,-0.0826642,0.7632126
12.54957,426.785,53.775,47.55,-0.1185226,-0.6297876,-0.08233894,0.7632434
12.56942,426.785,53.775,47.55,-0.1184758,-0.6298452,-0.0823737,0.7631993
12.58594,426.785,53.775,47.55,-0.1183768,-0.6299379,-0.08238094,0.7631374
12.60654,426.785,53.775,47.55,-0.118143,-0.6298535,-0.08238545,0.7632428
12.62688,426.785,53.775,47.55,-0.11795,-0.6298708,-0.08233555,0.7632638
12.6477,426.785,53.775,47.55,-0.1179933,-0.6301118,-0.08225027,0.7630672
12.66823,426.785,53.775,47.55,-0.1179602,-0.6302642,-0.08210044,0.7629626
12.68836,426.785,53.775,47.55,-0.1180111,-0.6301899,-0.08207713,0.7630187
12.70906,426.785,53.775,47.55,-0.1181329,-0.6300263,-0.08230242,0.7631108
